# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.463600e-01 4.833000e-02 6.805333e-01 1.382667e-09 8.734000e-01 -7.327000e-01 -1.784333e+00 8.680000e-02 2.410067e+00 -4.473333e-02 
2.635600e-01 5.191000e-02 6.788267e-01 1.118667e-09 1.054200e+00 -8.583333e-02 -6.690000e-01 5.640000e-02 3.121533e+00 3.140000e-02 
2.983600e-01 4.013000e-02 6.203733e-01 1.918667e-09 9.086000e-01 -9.145667e-01 -2.676667e-01 4.532000e-01 2.643133e+00 -3.553333e-02 
3.684400e-01 4.787000e-02 7.148800e-01 2.340000e-09 8.106000e-01 -5.859667e-01 -2.932333e+00 2.340000e-01 4.305267e+00 6.066667e-03 
2.323600e-01 5.265000e-02 6.370133e-01 1.774667e-09 9.690000e-01 -9.228333e-01 -1.905667e+00 4.052000e-01 3.100067e+00 -4.806667e-02 
3.197200e-01 4.629000e-02 7.355733e-01 1.145333e-09 8.310000e-01 -1.933000e-01 -3.843333e-01 3.924000e-01 4.431000e+00 2.873333e-02 
3.989200e-01 4.195000e-02 6.688000e-01 2.646667e-09 1.004600e+00 -3.421000e-01 -1.523000e+00 4.840000e-02 2.495933e+00 1.006667e-02 
2.556400e-01 5.359000e-02 7.238400e-01 2.905333e-09 9.870000e-01 -7.988333e-01 -1.341000e+00 4.820000e-01 2.995800e+00 -4.233333e-02 
3.014800e-01 4.213000e-02 6.547200e-01 1.332000e-09 8.394000e-01 -7.037667e-01 -2.577667e+00 3.060000e-01 4.403400e+00 -1.933333e-03 
3.442000e-01 4.533000e-02 6.391467e-01 2.134667e-09 1.089000e+00 -6.310000e-02 -1.370000e-01 9.200000e-03 2.894600e+00 2.073333e-02 
2.280400e-01 4.029000e-02 7.276800e-01 1.497333e-09 9.242000e-01 5.883333e-02 -2.269667e+00 2.908000e-01 3.084733e+00 -5.533333e-03 
3.084400e-01 4.939000e-02 6.617600e-01 2.390667e-09 8.974000e-01 -1.156367e+00 -5.803333e-01 5.116000e-01 4.434067e+00 3.646667e-02 
3.761200e-01 5.173000e-02 6.374400e-01 2.214667e-09 1.063800e+00 -6.459000e-01 -1.303667e+00 1.740000e-01 2.403933e+00 -4.300000e-02 
2.328400e-01 4.415000e-02 6.937600e-01 2.940000e-09 1.001800e+00 -3.979000e-01 -2.070000e-01 2.868000e-01 2.250600e+00 -3.126667e-02 
3.062800e-01 4.933000e-02 7.351467e-01 1.737333e-09 8.654000e-01 -1.284500e+00 -2.699000e+00 8.440000e-02 3.771667e+00 -7.800000e-03 
3.703600e-01 5.075000e-02 6.082133e-01 1.596000e-09 9.746000e-01 -1.437000e-01 -7.156667e-01 5.172000e-01 3.443533e+00 3.553333e-02 
2.414800e-01 4.285000e-02 7.332267e-01 1.993333e-09 8.530000e-01 -4.433667e-01 5.900000e-02 3.836000e-01 3.477267e+00 -4.660000e-02 
